NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Copyright (c) 2011, Sorkin Type Co. (www.sorkintype.com) with Reserved Font Name "Hammersmith".  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	HammersmithOne	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Regular	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	NicoleFally: HammersmithOne Regular: 2011	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	HammersmithOne Regular	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.003	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	HammersmithOne-Regular	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Hammersmith is a trademark of Sorkin Type Co.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Nicole Fally	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Nicole Fally	(1, 0, 0, 9)
Description	Macintosh	Roman	English	Hammersmith is a low contrast semi geometric typeface inspired by the UK lettering tradition and showing the quirks of  handmade brush written letters. It has been adapted for use as a web type.	(1, 0, 0, 10)
Vendor URL	Macintosh	Roman	English	sorkintype.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	sorkintype.com	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://scripts.sil.org/OFL	(1, 0, 0, 14)
Compatible Full Name	Macintosh	Roman	English	HammersmithOne Regular	(1, 0, 0, 18)
Copyright	Windows	Unicode BMP	English (United States)	Copyright (c) 2011, Sorkin Type Co. (www.sorkintype.com) with Reserved Font Name "Hammersmith".  This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	HammersmithOne	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Regular	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	NicoleFally: HammersmithOne Regular: 2011	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	HammersmithOne Regular	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.003	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	HammersmithOne-Regular	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Hammersmith is a trademark of Sorkin Type Co.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Nicole Fally	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Nicole Fally	(3, 1, 1033, 9)
Description	Windows	Unicode BMP	English (United States)	Hammersmith is a low contrast semi geometric typeface inspired by the UK lettering tradition and showing the quirks of  handmade brush written letters. It has been adapted for use as a web type.	(3, 1, 1033, 10)
Vendor URL	Windows	Unicode BMP	English (United States)	sorkintype.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	sorkintype.com	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: http://scripts.sil.org/OFL	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://scripts.sil.org/OFL	(3, 1, 1033, 14)
Compatible Full Name	Windows	Unicode BMP	English (United States)	HammersmithOne Regular	(3, 1, 1033, 18)
